Date,Day,W/H,Description
29-07-2021,Thursday,W,
30-07-2021,Friday,W,
31-07-2021,Saturday,H,
01-08-2021,Sunday,H,
02-08-2021,Monday,W,
03-08-2021,Tuesday,W,
04-08-2021,Wednesday,W,
05-08-2021,Thursday,W,
06-08-2021,Friday,W,
07-08-2021,Saturday,H,
08-08-2021,Sunday,H,
09-08-2021,Monday,W,
10-08-2021,Tuesday,W,
11-08-2021,Wednesday,W,
12-08-2021,Thursday,W,
13-08-2021,Friday,W,
14-08-2021,Saturday,H,
15-08-2021,Sunday,H,Independence Day
16-08-2021,Monday,W,
17-08-2021,Tuesday,W,
18-08-2021,Wednesday,W,
19-08-2021,Thursday,W,
20-08-2021,Friday,W,
21-08-2021,Saturday,H,Onam
22-08-2021,Sunday,H,
23-08-2021,Monday,W,
24-08-2021,Tuesday,W,
25-08-2021,Wednesday,W,
26-08-2021,Thursday,W,
27-08-2021,Friday,W,
28-08-2021,Saturday,H,
29-08-2021,Sunday,H,
30-08-2021,Monday,H,Janmashtami
31-08-2021,Tuesday,W,
01-09-2021,Wednesday,W,
02-09-2021,Thursday,W,
03-09-2021,Friday,W,
04-09-2021,Saturday,H,
05-09-2021,Sunday,H,
06-09-2021,Monday,W,
07-09-2021,Tuesday,W,
08-09-2021,Wednesday,W,
09-09-2021,Thursday,W,
10-09-2021,Friday,H,Ganesh Chaturthi
11-09-2021,Saturday,H,
12-09-2021,Sunday,H,
13-09-2021,Monday,W,
14-09-2021,Tuesday,W,
15-09-2021,Wednesday,W,
16-09-2021,Thursday,W,
17-09-2021,Friday,W,
18-09-2021,Saturday,H,
19-09-2021,Sunday,H,
20-09-2021,Monday,W,
21-09-2021,Tuesday,W,
22-09-2021,Wednesday,W,
23-09-2021,Thursday,W,
24-09-2021,Friday,W,
25-09-2021,Saturday,H,
26-09-2021,Sunday,H,
27-09-2021,Monday,W,
28-09-2021,Tuesday,W,
29-09-2021,Wednesday,W,
30-09-2021,Thursday,W,
01-10-2021,Friday,W,
02-10-2021,Saturday,H,Gandhi Jayanti
03-10-2021,Sunday,H,
04-10-2021,Monday,W,
05-10-2021,Tuesday,W,
06-10-2021,Wednesday,W,
07-10-2021,Thursday,W,
08-10-2021,Friday,W,
09-10-2021,Saturday,H,
10-10-2021,Sunday,H,
11-10-2021,Monday,W,
12-10-2021,Tuesday,W,
13-10-2021,Wednesday,W,
14-10-2021,Thursday,W,
15-10-2021,Friday,H,Dussehra
16-10-2021,Saturday,H,
17-10-2021,Sunday,H,
18-10-2021,Monday,W,
19-10-2021,Tuesday,W,
20-10-2021,Wednesday,W,
21-10-2021,Thursday,W,
22-10-2021,Friday,W,
23-10-2021,Saturday,H,
24-10-2021,Sunday,H,
25-10-2021,Monday,W,
26-10-2021,Tuesday,W,
27-10-2021,Wednesday,W,
28-10-2021,Thursday,W,
29-10-2021,Friday,W,
30-10-2021,Saturday,H,
31-10-2021,Sunday,H,
01-11-2021,Monday,W,
02-11-2021,Tuesday,W,
03-11-2021,Wednesday,W,
04-11-2021,Thursday,H,Diwali
05-11-2021,Friday,W,
06-11-2021,Saturday,H,
07-11-2021,Sunday,H,
08-11-2021,Monday,W,
09-11-2021,Tuesday,W,
10-11-2021,Wednesday,W,
11-11-2021,Thursday,W,
12-11-2021,Friday,W,
13-11-2021,Saturday,H,
14-11-2021,Sunday,H,
15-11-2021,Monday,W,
16-11-2021,Tuesday,W,
17-11-2021,Wednesday,W,
18-11-2021,Thursday,W,
19-11-2021,Friday,W,
20-11-2021,Saturday,H,
21-11-2021,Sunday,H,
22-11-2021,Monday,W,
23-11-2021,Tuesday,W,
24-11-2021,Wednesday,W,
25-11-2021,Thursday,H,Christmas
26-11-2021,Friday,W,
27-11-2021,Saturday,H,
28-11-2021,Sunday,H,
29-11-2021,Monday,W,
30-11-2021,Tuesday,W,
01-12-2021,Wednesday,W,
02-12-2021,Thursday,W,
03-12-2021,Friday,W,
04-12-2021,Saturday,H,
05-12-2021,Sunday,H,
06-12-2021,Monday,W,
07-12-2021,Tuesday,W,
08-12-2021,Wednesday,W,
09-12-2021,Thursday,W,
10-12-2021,Friday,W,
11-12-2021,Saturday,H,
12-12-2021,Sunday,H,
13-12-2021,Monday,W,
14-12-2021,Tuesday,W,
15-12-2021,Wednesday,W,
16-12-2021,Thursday,W,
17-12-2021,Friday,W,
18-12-2021,Saturday,H,
19-12-2021,Sunday,H,
20-12-2021,Monday,W,
21-12-2021,Tuesday,W,
22-12-2021,Wednesday,W,
23-12-2021,Thursday,W,
24-12-2021,Friday,W,
25-12-2021,Saturday,H,
26-12-2021,Sunday,H,
27-12-2021,Monday,W,
28-12-2021,Tuesday,W,
29-12-2021,Wednesday,W,
30-12-2021,Thursday,W,
31-12-2021,Friday,W,
